CODIGO;TITULO
01;01 - ANIMALES VIVOS
0101;0101 - CABALLOS, ASNOS, MULOS Y BURDEGANOS, VIVOS
01011000;01011000 - - CABALLOS:
01011010;01011010 - - - Caballos
01011090;01011090 - - - Otros
01011100;01011100 - - - REPRODUCTORES DE RAZA PURA
01011900;01011900 - - - LOS DEMAS
01012000;01012000 - - ASNOS, MULOS Y BURDEGANOS
01012100;01012100 - - - Reproductores de raza pura
01012900;01012900 - - - Los dem¿s
01013000;01013000 - - Asnos
01019000;01019000 - - Los demás
0102;0102 - ANIMALES VIVOS DE LA ESPECIE BOVINA
01021000;01021000 - - REPRODUCTORES DE RAZA PURA
01021001;01021001 - Pruebas
01022100;01022100 - - - Reproductores de raza pura
01022900;01022900 - - - Los demas
01023100;01023100 - - - Reproductores de raza pura
01023900;01023900 - - - Los demas
01029000;01029000 - - Los demás
01029010;01029010 - - - Reproductores de raza pura
01029090;01029090 - - - Los demas
0103;0103 - ANIMALES VIVOS DE LA ESPECIE PORCINA
01031000;01031000 - - REPRODUCTORES DE RAZA PURA
01039000;01039000 - - LOS DEMAS:
01039100;01039100 - - - DE PESO INFERIOR A 50 KG
01039200;01039200 - - - DE PESO SUPERIOR O IGUAL A 50 KG
0104;0104 - ANIMALES VIVOS DE LAS ESPECIES OVINA O CAPRINA
01041000;01041000 - - DE LA ESPECIE OVINA:
01041010;01041010 - - - REPRODUCTORES DE RAZA PURA
01041090;01041090 - - - OTROS
01042000;01042000 - - DE LA ESPECIE CAPRINA:
01042010;01042010 - - - REPRODUCTORES DE RAZA PURA
01042090;01042090 - - - OTROS
0105;0105 - GALLOS, GALLINAS, PATOS, GANSOS, PAVOS (GALLIPAVOS) Y PINTAD
01051000;01051000 - - DE PESO INFERIOR O IGUAL A 185 G:
01051100;01051100 - - - GALLOS Y GALLINAS
01051200;01051200 - - - PAVOS (GALLIPAVOS)
01051300;01051300 - - - Patos
01051400;01051400 - - - Gansos
01051500;01051500 - - - Pintadas
01051900;01051900 - - - Los demás
01059000;01059000 - - LOS DEMAS:
01059200;01059200 - - - GALLOS Y GALLINAS DE PESO INFERIOR O IGUAL A 2,000 G
01059300;01059300 - - - GALLOS Y GALLINAS DE PESO SUPERIOR A 2,000 G
01059400;01059400 - - - Gallos y gallinas
01059900;01059900 - - - Los demás
0106;0106 - LOS DEMAS ANIMALES VIVOS
01060010;01060010 - - ABEJAS, INCLUSO EN COLMENAS, CAJAS U OTROS CONTINENTES SIM
01060090;01060090 - - OTROS
01061100;01061100 - - - Primates
01061200;01061200 - - - Ballenas, delfines y marsopas (mamíferos del orden Cetác
01061300;01061300 - - - Camellos y demas camelidos (Camelidae)
01061400;01061400 - - - Conejos y liebres
01061900;01061900 - - - Los demás
01062000;01062000 - - Reptiles (incluidas las serpientes y tortugas de mar)
01063100;01063100 - - - Aves de rapiña
01063200;01063200 - - - Psitaciformes (incluidos los loros, guacamayos, cacatúas
01063300;"01063300 - - - Avestruces; emues (Dromaius novaehollandiae)"
01063900;01063900 - - - Las demás
01064100;01064100 - - - Abejas
01064900;01064900 - - - Los demas
01069000;01069000 - - Los demas
01069010;01069010 - - - Abejas, incluso en colmenas, cajas u otros continentes s
01069090;01069090 - - - Otros
02;02 - CARNE Y DESPOJOS COMESTIBLES
0201;0201 - CARNE DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA
02011000;02011000 - - EN CANALES O MEDIAS CANALES
02012000;02012000 - - Los demás cortes (trozos) sin deshuesar
02013000;02013000 - - DESHUESADA
0202;0202 - CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA
02021000;02021000 - - EN CANALES O MEDIAS CANALES
02022000;02022000 - - Los demás cortes (trozos) sin deshuesar
02023000;02023000 - - DESHUESADA
0203;0203 - CARNE DE ANIMALES DE LA ESPECIE PORCINA, FRESCA, REFRIGERADA
02031000;02031000 - - FRESCA O REFRIGERADA:
